日期,起点距离(m),水位(m),水深(m),测点水深(m),测点水流速(m/s),测点含沙量(kg/m3)
2020-04-17,,,,1.64,0.61,
2020-07-10,1672.0,,0.0,,0.0,
2020-07-10,1692.0,,2.8,0.56,1.32,
2020-07-10,1711.0,,2.8,,,
2020-07-10,1729.0,,2.9,0.58,2.3,
2020-07-10,1747.0,,3.1,,,
2020-07-10,1764.0,,3.2,0.64,2.36,
2020-07-10,1781.0,,3.2,,,
2020-07-10,1798.0,,3.2,0.64,2.5,
2020-07-10,1814.0,,3.3,,,
2020-07-10,1830.0,,3.3,0.66,2.66,
2020-07-10,1845.0,,3.4,,,
2020-07-10,1860.0,,3.4,0.68,2.65,
2020-07-10,1875.0,,3.5,,,
2020-07-10,1890.0,,3.5,0.7,2.7,
2020-07-10,1905.0,,3.5,,,
2020-07-10,1920.0,,3.5,0.7,2.76,
2020-07-10,1936.0,,3.6,,,
2020-07-10,1952.0,,3.6,0.72,2.65,
2020-07-10,1968.0,,3.6,,,
2020-07-10,1985.0,,3.8,0.76,2.53,
2020-07-10,2002.0,,3.9,,,
2020-07-10,2019.0,,4.0,0.8,2.13,
2020-07-10,2037.0,,2.9,,,
2020-07-10,2055.0,,2.0,0.4,1.26,
2020-07-10,2080.0,44.56,0.0,,0.0,
2020-07-10,,,,1.6,1.15,
2020-07-10,,,,3.2,1.61,
2020-07-10,,,,3.04,1.91,
2020-07-10,,,,2.88,2.15,
2020-07-10,,,,2.8,2.15,
2020-07-10,,,,2.8,2.03,
2020-07-10,,,,2.72,2.08,
2020-07-10,,,,2.64,2.01,
2020-07-10,,,,2.56,2.06,
2020-07-10,,,,2.56,1.86,
2020-07-10,,,,2.32,1.91,
2020-07-10,,,,2.24,1.06,
2020-07-11,1672.0,,0.0,,0.0,
2020-07-11,1692.0,,2.7,0.0,1.28,24.8
2020-07-11,1711.0,,2.7,0.0,2.01,
2020-07-11,1729.0,,2.9,0.0,2.43,24.9
2020-07-11,1747.0,,3.0,0.0,2.45,
2020-07-11,1764.0,,3.0,0.0,2.5,24.1
2020-07-11,1781.0,,3.1,0.0,2.65,
2020-07-11,1798.0,,3.2,0.0,2.68,27.5
2020-07-11,1814.0,,3.3,0.0,2.68,
2020-07-11,1830.0,,3.3,0.0,2.68,23.5
2020-07-11,1845.0,,3.3,0.0,2.68,
2020-07-11,1860.0,,3.3,0.0,2.75,21.7
2020-07-11,1875.0,,3.4,0.0,2.78,
2020-07-11,1890.0,,3.4,0.0,2.86,22.6
2020-07-11,1905.0,,3.5,0.0,2.76,
2020-07-11,1920.0,,3.6,0.0,2.75,23.5
2020-07-11,1936.0,,3.6,0.0,2.73,
2020-07-11,1952.0,,3.7,0.0,2.76,26.4
2020-07-11,1968.0,,3.7,0.0,2.71,
2020-07-11,1985.0,,3.7,0.0,2.63,22.0
2020-07-11,2002.0,,4.0,0.0,2.45,
2020-07-11,2019.0,,3.8,0.0,2.05,21.8
2020-07-11,2037.0,,2.9,0.0,1.74,
2020-07-11,2055.0,,2.0,0.0,1.18,22.0
2020-07-11,2080.0,44.52,0.0,,0.0,
2020-07-11,,,,0.4,1.12,22.2
2020-07-11,,,,1.2,1.06,22.2
2020-07-11,,,,1.6,1.02,21.9
2020-07-11,,,,2.0,0.91,22.2
2020-07-11,,,,0.58,1.66,
2020-07-11,,,,1.74,1.18,
2020-07-11,,,,2.32,1.17,
2020-07-11,,,,2.9,1.0,
2020-07-11,,,,0.76,2.01,22.9
2020-07-11,,,,2.28,1.79,23.8
2020-07-11,,,,3.04,1.74,21.8
2020-07-11,,,,3.8,1.46,22.0
2020-07-11,,,,0.8,2.4,
2020-07-11,,,,2.4,2.11,
2020-07-11,,,,3.2,1.92,
2020-07-11,,,,4.0,1.51,
2020-07-11,,,,0.74,2.55,22.7
2020-07-11,,,,2.22,2.26,25.4
2020-07-11,,,,2.96,1.84,26.4
2020-07-11,,,,3.7,1.67,25.5
2020-07-11,,,,0.74,2.63,
2020-07-11,,,,2.22,2.38,
2020-07-11,,,,2.96,1.97,
2020-07-11,,,,3.7,1.67,
2020-07-11,,,,0.74,2.7,24.0
2020-07-11,,,,2.22,2.43,25.5
2020-07-11,,,,2.96,2.03,27.9
2020-07-11,,,,3.7,1.52,36.8
2020-07-11,,,,0.72,2.68,
2020-07-11,,,,2.16,2.38,
2020-07-11,,,,2.88,2.03,
2020-07-11,,,,3.6,1.74,
2020-07-11,,,,0.72,2.75,24.2
2020-07-11,,,,2.16,2.38,27.0
2020-07-11,,,,2.88,1.96,28.8
2020-07-11,,,,3.6,1.62,33.8
2020-07-11,,,,0.7,2.73,
2020-07-11,,,,2.1,2.43,
2020-07-11,,,,2.8,2.05,
2020-07-11,,,,3.5,1.66,
2020-07-11,,,,0.68,2.83,24.9
2020-07-11,,,,2.04,2.53,28.6
2020-07-11,,,,2.72,2.15,28.4
2020-07-11,,,,3.4,1.97,38.8
2020-07-11,,,,0.68,2.78,
2020-07-11,,,,2.04,2.5,
2020-07-11,,,,2.72,2.03,
2020-07-11,,,,3.4,1.56,
2020-07-11,,,,0.66,2.73,23.3
2020-07-11,,,,1.98,2.55,27.1
2020-07-11,,,,2.64,2.06,33.1
2020-07-11,,,,3.3,1.59,45.1
2020-07-11,,,,0.66,2.65,
2020-07-11,,,,1.98,2.48,
2020-07-11,,,,2.64,2.03,
2020-07-11,,,,3.3,1.56,
2020-07-11,,,,0.66,2.66,25.1
2020-07-11,,,,1.98,2.48,25.8
2020-07-11,,,,2.64,1.97,36.1
2020-07-11,,,,3.3,1.61,36.4
2020-07-11,,,,0.66,2.63,
2020-07-11,,,,1.98,2.25,
2020-07-11,,,,2.64,1.81,
2020-07-11,,,,3.3,1.51,
2020-07-11,,,,0.64,2.6,24.0
2020-07-11,,,,1.92,2.43,29.7
2020-07-11,,,,2.56,1.94,31.9
2020-07-11,,,,3.2,1.59,38.9
2020-07-11,,,,0.62,2.55,
2020-07-11,,,,1.86,2.35,
2020-07-11,,,,2.48,1.87,
2020-07-11,,,,3.1,1.51,
2020-07-11,,,,0.62,2.48,21.7
2020-07-11,,,,1.86,2.38,28.5
2020-07-11,,,,2.48,1.87,32.0
2020-07-11,,,,3.0,1.56,35.6
2020-07-11,,,,0.6,2.4,
2020-07-11,,,,1.8,2.18,
2020-07-11,,,,2.4,1.77,
2020-07-11,,,,3.0,1.52,
2020-07-11,,,,0.58,2.38,22.7
2020-07-11,,,,1.74,2.13,28.2
2020-07-11,,,,2.32,1.77,32.6
2020-07-11,,,,2.9,1.36,37.3
2020-07-11,,,,0.54,1.99,
2020-07-11,,,,1.62,1.91,
2020-07-11,,,,2.16,1.49,
2020-07-11,,,,2.7,1.36,
2020-07-11,,,,0.54,1.22,21.5
2020-07-11,,,,1.62,0.98,22.6
2020-07-11,,,,2.16,0.84,30.4
2020-07-11,,,,2.7,0.75,29.9
2020-07-29,1679.0,,0.0,,0.0,
2020-07-29,1696.0,,2.3,0.46,1.56,
2020-07-29,1713.0,,2.4,,,
2020-07-29,1730.0,,2.5,0.5,2.33,
2020-07-29,1747.0,,2.6,,,
2020-07-29,1764.0,,2.6,0.52,2.61,
2020-07-29,1781.0,,2.6,,,
2020-07-29,1798.0,,2.6,0.52,2.66,
2020-07-29,1814.0,,2.7,,,
2020-07-29,1830.0,,2.7,0.54,2.78,
2020-07-29,1845.0,,2.8,,,
2020-07-29,1860.0,,2.9,0.58,2.88,
2020-07-29,1875.0,,3.0,,,
2020-07-29,1890.0,,3.0,0.6,2.93,
2020-07-29,1905.0,,3.1,,,
2020-07-29,1920.0,,3.2,0.64,2.95,
2020-07-29,1936.0,,3.2,,,
2020-07-29,1952.0,,3.3,0.66,2.91,
2020-07-29,1968.0,,3.4,,,
2020-07-29,1985.0,,3.5,0.7,2.73,
2020-07-29,2002.0,,3.4,,,
2020-07-29,2019.0,,3.2,0.64,2.31,
2020-07-29,2036.0,,2.3,,,
2020-07-29,2055.0,,2.0,0.4,1.47,
2020-07-29,2078.0,44.18,0.0,,0.0,
2020-07-29,,,,1.6,1.37,
2020-07-29,,,,2.56,1.77,
2020-07-29,,,,2.8,2.03,
2020-07-29,,,,2.64,2.33,
2020-07-29,,,,2.56,2.33,
2020-07-29,,,,2.4,2.33,
2020-07-29,,,,2.32,2.23,
2020-07-29,,,,2.32,2.28,
2020-07-29,,,,2.08,2.1,
2020-07-29,,,,2.08,2.03,
2020-07-29,,,,2.08,1.79,
2020-07-29,,,,1.84,1.01,
2021-04-16,1686.0,,0.0,,0.0,
2021-04-16,1706.0,,1.5,0.3,0.74,
2021-04-16,1722.0,,1.8,,,
2021-04-16,1737.0,,2.2,0.44,0.97,
2021-04-16,1752.0,,2.0,,,
2021-04-16,1768.0,,1.7,0.34,1.29,
2021-04-16,1783.0,,1.7,,,
2021-04-16,1798.0,,1.7,0.34,1.62,
2021-04-16,1813.0,,1.7,,,
2021-04-16,1828.0,,1.8,0.36,1.84,
2021-04-16,1844.0,,1.75,,,
2021-04-16,1859.0,,1.75,0.35,1.85,
2021-04-16,1873.0,,1.75,,,
2021-04-16,1886.0,,1.7,0.34,1.89,
2021-04-16,1900.0,,1.6,,,
2021-04-16,1913.0,,1.6,0.32,1.85,
2021-04-16,1927.0,,1.5,,,
2021-04-16,1941.0,,1.55,0.31,1.72,
2021-04-16,1957.0,,1.6,,,
2021-04-16,1974.0,,1.6,0.2,1.64,
2021-04-16,1991.0,,1.6,,,
2021-04-16,2007.0,,1.6,0.32,1.34,
2021-04-16,2024.0,,1.5,,,
2021-04-16,2041.0,,1.2,0.24,1.04,
2021-04-16,2066.0,42.72,0.0,,0.0,
2021-04-16,,,,0.96,0.86,
2021-04-16,,,,1.28,1.39,
2021-04-16,,,,1.28,1.39,
2021-04-16,,,,1.4,1.46,
2021-04-16,,,,1.28,1.52,
2021-04-16,,,,1.36,1.56,
2021-04-16,,,,1.4,1.62,
2021-04-16,,,,1.44,1.43,
2021-04-16,,,,1.36,1.36,
2021-04-16,,,,1.36,0.9,
2021-04-16,,,,1.76,0.72,
2021-04-16,,,,1.2,0.62,
2021-07-07,1677.0,,0.0,,0.0,
2021-07-07,1697.0,,2.4,0.48,1.51,
2021-07-07,1717.0,,2.6,,,
2021-07-07,1737.0,,2.8,0.56,2.08,
2021-07-07,1756.0,,2.9,,,
2021-07-07,1774.0,,2.9,0.58,2.23,
2021-07-07,1792.0,,3.1,,,
2021-07-07,1810.0,,3.3,0.66,2.35,
2021-07-07,1828.0,,3.4,,,
2021-07-07,1844.0,,3.5,0.7,2.45,
2021-07-07,1859.0,,3.6,,,
2021-07-07,1873.0,,3.7,0.74,2.6,
2021-07-07,1887.0,,3.7,,,
2021-07-07,1901.0,,3.8,0.76,2.67,
2021-07-07,1915.0,,3.8,,,
2021-07-07,1930.0,,3.9,0.78,2.5,
2021-07-07,1947.0,,3.9,,,
2021-07-07,1963.0,,3.9,0.78,2.5,
2021-07-07,1979.0,,3.9,,,
2021-07-07,1996.0,,4.0,0.8,2.38,
2021-07-07,2013.0,,3.9,,,
2021-07-07,2030.0,,3.7,0.74,1.87,
2021-07-07,2048.0,,2.4,,,
2021-07-07,2068.0,,1.5,0.3,0.74,
2021-07-07,2086.0,44.52,0.0,,0.0,
2021-07-07,,,,1.2,0.5,
2021-07-07,,,,2.96,1.59,
2021-07-07,,,,3.2,1.82,
2021-07-07,,,,3.12,1.89,
2021-07-07,,,,3.12,1.87,
2021-07-07,,,,3.04,1.93,
2021-07-07,,,,2.96,2.0,
2021-07-07,,,,2.8,1.93,
2021-07-07,,,,2.64,1.79,
2021-07-07,,,,2.32,1.77,
2021-07-07,,,,2.24,1.56,
2021-07-07,,,,1.92,0.89,
2021-07-08,1677.0,,0.0,,0.0,
2021-07-08,1697.0,,2.4,0.48,1.24,
2021-07-08,1717.0,,2.5,,,
2021-07-08,1737.0,,2.6,0.52,1.98,
2021-07-08,1756.0,,2.6,,,
2021-07-08,1774.0,,2.7,0.54,2.23,
2021-07-08,1792.0,,2.8,,,
2021-07-08,1810.0,,2.9,0.58,2.33,
2021-07-08,1828.0,,3.0,,,
2021-07-08,1844.0,,3.2,0.64,2.4,
2021-07-08,1859.0,,3.2,,,
2021-07-08,1873.0,,3.28,0.66,2.55,
2021-07-08,1887.0,,3.3,,,
2021-07-08,1901.0,,3.45,0.69,2.55,
2021-07-08,1915.0,,3.52,,,
2021-07-08,1930.0,,3.5,0.7,2.5,
2021-07-08,1947.0,,3.55,,,
2021-07-08,1963.0,,3.6,0.72,2.38,
2021-07-08,1979.0,,3.6,,,
2021-07-08,1996.0,,3.8,0.76,2.25,
2021-07-08,2013.0,,3.9,,,
2021-07-08,2028.0,,3.5,0.7,1.92,
2021-07-08,2044.0,,2.2,,,
2021-07-08,2060.0,,1.6,0.32,1.08,
2021-07-08,2078.0,44.18,0.0,,0.0,
2021-07-08,,,,1.28,0.89,
2021-07-08,,,,2.8,1.62,
2021-07-08,,,,3.04,1.72,
2021-07-08,,,,2.88,1.77,
2021-07-08,,,,2.8,2.21,
2021-07-08,,,,2.76,2.23,
2021-07-08,,,,2.62,2.06,
2021-07-08,,,,2.56,1.92,
2021-07-08,,,,2.32,1.72,
2021-07-08,,,,2.16,1.64,
2021-07-08,,,,2.08,1.39,
2021-07-08,,,,1.92,1.08,
2021-07-09,1677.0,,0.0,,0.0,
2021-07-09,1697.0,,2.0,0.0,1.72,17.4
2021-07-09,1717.0,,2.3,0.0,1.9,
2021-07-09,1737.0,,2.4,0.0,1.9,17.9
2021-07-09,1756.0,,2.5,0.0,2.06,
2021-07-09,1774.0,,2.6,0.0,2.21,18.9
2021-07-09,1792.0,,2.6,0.0,2.23,
2021-07-09,1810.0,,2.7,0.0,2.4,21.8
2021-07-09,1828.0,,2.8,0.0,2.45,
2021-07-09,1844.0,,2.8,0.0,2.48,19.7
2021-07-09,1859.0,,3.0,0.0,2.48,
2021-07-09,1873.0,,3.0,0.0,2.5,24.8
2021-07-09,1887.0,,3.0,0.0,2.45,
2021-07-09,1901.0,,3.1,0.0,2.5,22.2
2021-07-09,1915.0,,3.2,0.0,2.48,
2021-07-09,1930.0,,3.2,0.0,2.48,16.7
2021-07-09,1947.0,,3.2,0.0,2.48,
2021-07-09,1963.0,,3.3,0.0,2.45,23.4
2021-07-09,1979.0,,3.3,0.0,2.3,
2021-07-09,1996.0,,3.6,0.0,2.33,21.3
2021-07-09,2013.0,,3.6,0.0,2.06,
2021-07-09,2028.0,,3.0,0.0,1.84,26.1
2021-07-09,2044.0,,2.0,0.0,1.36,
2021-07-09,2060.0,,1.4,0.0,1.22,26.2
2021-07-09,2078.0,43.94,0.0,,0.0,
2021-07-09,,,,0.28,1.21,27.2
2021-07-09,,,,0.84,1.17,28.3
2021-07-09,,,,1.12,1.06,29.8
2021-07-09,,,,1.4,0.89,27.9
2021-07-09,,,,0.4,1.32,
2021-07-09,,,,1.2,1.22,
2021-07-09,,,,1.6,1.16,
2021-07-09,,,,2.0,1.03,
2021-07-09,,,,0.6,1.69,27.3
2021-07-09,,,,1.8,1.61,28.2
2021-07-09,,,,2.4,1.57,27.0
2021-07-09,,,,3.0,1.41,27.9
2021-07-09,,,,0.72,1.96,
2021-07-09,,,,0.6,1.75,
2021-07-09,,,,2.88,1.56,
2021-07-09,,,,3.6,1.11,
2021-07-09,,,,0.72,2.11,25.9
2021-07-09,,,,2.16,1.96,28.7
2021-07-09,,,,2.88,1.65,31.2
2021-07-09,,,,3.6,1.23,32.3
2021-07-09,,,,0.66,2.18,
2021-07-09,,,,1.98,2.13,
2021-07-09,,,,2.64,1.8,
2021-07-09,,,,3.3,1.38,
2021-07-09,,,,0.66,2.21,24.6
2021-07-09,,,,1.98,2.18,27.4
2021-07-09,,,,2.64,1.8,28.4
2021-07-09,,,,3.3,1.36,26.2
2021-07-09,,,,0.66,2.31,
2021-07-09,,,,1.98,2.28,
2021-07-09,,,,2.64,2.05,
2021-07-09,,,,3.2,1.36,
2021-07-09,,,,0.64,2.5,24.4
2021-07-09,,,,1.92,2.3,26.5
2021-07-09,,,,2.56,1.82,28.6
2021-07-09,,,,3.2,1.36,32.0
2021-07-09,,,,0.64,2.55,
2021-07-09,,,,1.92,2.33,
2021-07-09,,,,2.56,1.93,
2021-07-09,,,,3.2,1.36,
2021-07-09,,,,0.62,2.55,24.2
2021-07-09,,,,1.86,2.33,27.0
2021-07-09,,,,2.48,1.8,27.9
2021-07-09,,,,3.1,1.3,32.6
2021-07-09,,,,0.6,2.5,
2021-07-09,,,,1.8,2.33,
2021-07-09,,,,2.4,1.84,
2021-07-09,,,,3.0,1.36,
2021-07-09,,,,0.6,2.4,24.4
2021-07-09,,,,1.8,2.3,25.8
2021-07-09,,,,2.4,1.87,26.1
2021-07-09,,,,3.0,1.46,28.2
2021-07-09,,,,0.6,2.45,
2021-07-09,,,,1.8,2.26,
2021-07-09,,,,2.4,1.93,
2021-07-09,,,,3.0,1.46,
2021-07-09,,,,0.56,2.4,23.0
2021-07-09,,,,1.68,2.31,27.2
2021-07-09,,,,2.24,1.85,29.5
2021-07-09,,,,2.8,1.33,37.1
2021-07-09,,,,0.56,2.3,
2021-07-09,,,,1.68,1.98,
2021-07-09,,,,2.24,1.72,
2021-07-09,,,,2.8,1.3,
2021-07-09,,,,0.54,2.24,22.0
2021-07-09,,,,1.62,1.98,22.8
2021-07-09,,,,2.16,1.59,28.0
2021-07-09,,,,2.7,1.22,33.9
2021-07-09,,,,0.52,2.16,
2021-07-09,,,,1.56,1.96,
2021-07-09,,,,2.08,1.69,
2021-07-09,,,,2.6,1.26,
2021-07-09,,,,0.52,2.16,20.4
2021-07-09,,,,1.56,1.96,25.3
2021-07-09,,,,2.08,1.69,33.8
2021-07-09,,,,2.6,1.26,35.2
2021-07-09,,,,0.5,1.96,
2021-07-09,,,,1.5,1.74,
2021-07-09,,,,2.0,1.43,
2021-07-09,,,,2.5,1.1,
2021-07-09,,,,0.48,1.82,21.0
2021-07-09,,,,1.44,1.61,21.1
2021-07-09,,,,1.92,1.32,27.2
2021-07-09,,,,2.4,0.81,31.0
2021-07-09,,,,0.46,1.62,
2021-07-09,,,,1.38,1.17,
2021-07-09,,,,1.84,0.88,
2021-07-09,,,,2.3,0.72,
2021-07-09,,,,0.4,1.11,16.8
2021-07-09,,,,1.2,0.92,17.6
2021-07-09,,,,1.6,0.7,20.2
2021-07-09,,,,2.0,0.55,23.7
2021-07-22,1674.0,,0.0,,0.0,
2021-07-22,1697.0,,3.0,0.6,2.5,
2021-07-22,1717.0,,3.1,,,
2021-07-22,1737.0,,3.4,0.68,2.67,
2021-07-22,1756.0,,3.4,,,
2021-07-22,1774.0,,3.5,0.7,2.95,
2021-07-22,1792.0,,3.5,,,
2021-07-22,1810.0,,3.6,0.72,3.07,
2021-07-22,1828.0,,3.6,,,
2021-07-22,1844.0,,3.6,0.72,3.17,
2021-07-22,1859.0,,3.8,,,
2021-07-22,1873.0,,3.8,0.76,3.32,
2021-07-22,1887.0,,4.0,,,
2021-07-22,1901.0,,4.3,0.86,3.22,
2021-07-22,1915.0,,4.3,,,
2021-07-22,1930.0,,4.3,0.86,3.22,
2021-07-22,1947.0,,4.3,,,
2021-07-22,1963.0,,4.6,0.92,3.2,
2021-07-22,1979.0,,4.6,,,
2021-07-22,1996.0,,4.5,0.9,2.95,
2021-07-22,2013.0,,4.2,,,
2021-07-22,2028.0,,3.6,0.72,2.43,
2021-07-22,2044.0,,3.1,,,
2021-07-22,2060.0,,2.7,0.54,1.75,
2021-07-22,2076.0,45.22,0.0,,0.0,
2021-07-22,,,,2.16,1.7,
2021-07-22,,,,2.88,2.16,
2021-07-22,,,,3.6,2.38,
2021-07-22,,,,3.68,2.38,
2021-07-22,,,,3.44,2.5,
2021-07-22,,,,3.44,2.48,
2021-07-22,,,,3.04,2.6,
2021-07-22,,,,2.88,2.6,
2021-07-22,,,,2.88,2.38,
2021-07-22,,,,2.8,2.48,
2021-07-22,,,,2.72,2.16,
2021-07-22,,,,2.4,2.0,
2022-04-18,1705.0,,0.0,,0.0,
2022-04-18,1738.0,,0.9,0.18,0.29,
2022-04-18,1754.0,,1.2,,,
2022-04-18,1761.0,,1.4,0.28,0.48,
2022-04-18,1777.0,,1.6,,,
2022-04-18,1792.0,,1.9,0.38,1.15,
2022-04-18,1806.0,,1.9,,,
2022-04-18,1820.0,,2.0,0.4,1.36,
2022-04-18,1833.0,,2.0,,,
2022-04-18,1846.0,,1.9,0.38,1.72,
2022-04-18,1859.0,,2.0,,,
2022-04-18,1872.0,,2.1,0.42,1.93,
2022-04-18,1885.0,,2.1,,,
2022-04-18,1898.0,,2.2,0.44,1.99,
2022-04-18,1912.0,,2.2,,,
2022-04-18,1926.0,,2.3,0.46,2.25,
2022-04-18,1941.0,,2.3,,,
2022-04-18,1956.0,,2.4,0.48,2.28,
2022-04-18,1971.0,,2.5,,,
2022-04-18,1986.0,,2.6,0.52,2.13,
2022-04-18,2002.0,,2.5,,,
2022-04-18,2018.0,,2.4,0.48,1.75,
2022-04-18,2034.0,,2.3,,,
2022-04-18,2052.0,,1.8,0.36,1.07,
2022-04-18,2075.0,42.86,0.0,,0.0,
2022-04-18,,,,1.44,0.84,
2022-04-18,,,,1.92,1.47,
2022-04-18,,,,2.08,1.65,
2022-04-18,,,,1.92,1.67,
2022-04-18,,,,1.84,1.67,
2022-04-18,,,,1.76,1.57,
2022-04-18,,,,1.68,1.46,
2022-04-18,,,,1.52,1.32,
2022-04-18,,,,1.6,1.18,
2022-04-18,,,,1.52,0.74,
2022-04-18,,,,1.12,0.25,
2022-04-18,,,,0.72,0.15,
2022-07-07,1670.0,,0.0,,0.0,
2022-07-07,1694.0,,3.5,0.7,2.06,
2022-07-07,1716.0,,3.7,,,
2022-07-07,1736.0,,3.8,0.76,2.72,
2022-07-07,1774.0,,3.8,0.76,2.99,
2022-07-07,1775.0,,3.77,,,
2022-07-07,1792.0,,3.9,,,
2022-07-07,1809.0,,4.0,0.8,3.2,
2022-07-07,1826.0,,4.0,,,
2022-07-07,1842.0,,4.0,0.8,3.33,
2022-07-07,1858.0,,4.06,,,
2022-07-07,1873.0,,4.1,0.82,3.38,
2022-07-07,1888.0,,4.19,,,
2022-07-07,1903.0,,4.2,0.84,3.38,
2022-07-07,1918.0,,4.3,,,
2022-07-07,1933.0,,4.2,0.84,3.36,
2022-07-07,1948.0,,4.22,,,
2022-07-07,1964.0,,4.33,0.87,3.22,
2022-07-07,1980.0,,4.5,,,
2022-07-07,1996.0,,4.3,0.86,3.02,
2022-07-07,2012.0,,4.0,,,
2022-07-07,2029.0,,3.9,0.78,2.6,
2022-07-07,2046.0,,3.4,,,
2022-07-07,2063.0,,2.6,0.52,1.56,
2022-07-07,2083.0,45.5,0.0,,0.0,
2022-07-07,,,,2.08,1.31,
2022-07-07,,,,3.12,2.09,
2022-07-07,,,,3.44,2.4,
2022-07-07,,,,3.46,2.62,
2022-07-07,,,,3.36,2.75,
2022-07-07,,,,3.36,2.79,
2022-07-07,,,,3.28,2.82,
