datetime,水位(m),流量(m3/s),含沙量(kg/m3)
2016-01-12 18:00:00,42.72,350,
2016-01-12 20:00:00,42.7,341,
2016-01-13 00:00:00,42.7,341,
2016-01-13 04:00:00,42.72,350,
2016-01-13 08:00:00,42.75,364,0.851
2016-01-13 12:00:00,42.77,373,
2016-01-13 14:00:00,42.78,378,
2016-01-13 16:00:00,42.76,369,
2016-01-13 20:00:00,42.74,360,
2016-01-14 00:00:00,42.74,360,
2016-01-14 04:00:00,42.75,364,
2016-01-14 08:00:00,42.74,360,0.883
2016-01-14 12:00:00,42.8,388,
2016-01-14 16:00:00,42.77,373,
2016-01-14 20:00:00,42.72,350,
2016-01-15 00:00:00,42.72,350,
2016-01-15 04:00:00,42.73,355,
2016-01-15 08:00:00,42.74,360,0.831
2016-01-15 12:00:00,42.77,373,
2016-01-15 14:00:00,42.78,378,
2016-01-15 16:00:00,42.76,369,
2016-01-15 20:00:00,42.72,350,
2016-01-15 22:00:00,42.71,346,
2016-01-16 00:00:00,42.71,346,
2016-01-16 04:00:00,42.73,355,
2016-01-16 08:00:00,42.73,355,0.866
2016-01-16 10:00:00,42.76,369,
2016-01-16 12:00:00,42.75,364,
2016-01-16 16:00:00,42.74,360,
2016-01-16 20:00:00,42.73,355,
2016-01-17 00:00:00,42.72,350,
2016-01-17 04:00:00,42.67,328,
2016-01-17 08:00:00,42.69,337,0.888
2016-01-17 12:00:00,42.67,328,
2016-01-17 16:00:00,42.66,324,
2016-01-17 20:00:00,42.66,324,
2016-01-18 00:00:00,42.64,315,
2016-01-18 04:00:00,42.66,324,
2016-01-18 08:00:00,42.66,324,0.878
2016-01-18 12:00:00,42.69,337,
2016-01-18 16:00:00,42.7,341,
2016-01-18 18:00:00,42.72,350,
2016-01-18 20:00:00,42.69,337,
2016-01-19 00:00:00,42.72,350,
2016-01-19 04:00:00,42.74,360,
2016-01-19 08:00:00,42.74,360,0.943
2016-01-19 12:00:00,42.79,383,
2016-01-19 16:00:00,42.77,373,
2016-01-19 20:00:00,42.73,355,
2016-01-20 00:00:00,42.75,364,
2016-01-20 04:00:00,42.74,360,
2016-01-20 06:00:00,42.73,355,
2016-01-20 08:00:00,42.75,364,0.875
2016-01-20 12:00:00,42.75,364,
2016-01-20 14:00:00,42.76,369,
2016-01-20 16:00:00,42.76,369,
2016-01-20 20:00:00,42.74,360,
2016-01-21 00:00:00,42.75,364,
2016-01-21 04:00:00,42.73,355,
2016-01-21 08:00:00,42.74,360,1.12
2016-01-21 12:00:00,42.76,369,
2016-01-21 14:00:00,42.78,378,
2016-01-21 16:00:00,42.76,369,
2016-01-21 20:00:00,42.74,360,
2016-01-21 22:00:00,42.72,350,
2016-01-22 00:00:00,42.73,355,
2016-01-22 04:00:00,42.71,346,
2016-01-22 08:00:00,42.7,341,1.18
2016-01-22 12:00:00,42.67,328,
2016-01-22 16:00:00,42.64,315,
2016-01-22 20:00:00,42.63,311,
2016-01-22 22:00:00,42.62,306,
2016-01-23 00:00:00,42.6,298,
2016-01-23 04:00:00,42.6,298,
2016-01-23 08:00:00,42.61,302,0.773
2016-01-23 12:00:00,42.65,319,
2016-01-23 16:00:00,42.61,302,
2016-01-23 20:00:00,42.55,278,
2016-01-24 00:00:00,42.54,274,
2016-01-24 04:00:00,42.47,249,
2016-01-24 08:00:00,42.5,296,0.7
2016-01-24 12:00:00,42.41,270,
2016-01-24 16:00:00,42.3,242,
2016-01-24 20:00:00,42.38,262,
2016-01-25 00:00:00,42.47,287,
2016-01-25 04:00:00,42.49,293,
2016-01-25 08:00:00,42.41,229,0.742
2016-01-25 12:00:00,42.39,223,
2016-01-25 16:00:00,42.44,239,
2016-01-25 20:00:00,42.47,249,
2016-01-26 00:00:00,42.46,246,
2016-01-26 04:00:00,42.47,249,
2016-01-26 08:00:00,42.51,263,1.57
2016-01-26 12:00:00,42.48,252,
2016-01-26 16:00:00,42.54,274,
2016-01-26 20:00:00,42.55,278,
2016-01-27 00:00:00,42.58,290,
2016-01-27 04:00:00,42.55,278,
2016-01-27 08:00:00,42.56,282,1.05
2016-01-27 12:00:00,42.52,267,
2016-01-27 16:00:00,42.51,263,
2016-01-27 20:00:00,42.51,263,
2016-01-28 00:00:00,42.5,260,
2016-01-28 04:00:00,42.48,252,
2016-01-28 08:00:00,42.49,256,1.57
2016-01-28 12:00:00,42.49,256,
2016-01-28 16:00:00,42.54,274,
2016-01-28 20:00:00,42.51,263,
2016-01-29 00:00:00,42.52,267,
2016-01-29 02:00:00,42.44,239,
2016-01-29 04:00:00,42.59,294,
2016-01-29 08:00:00,42.58,243,1.65
2016-01-29 12:00:00,42.62,262,
2016-01-29 16:00:00,42.65,277,
2016-01-29 20:00:00,42.62,262,
2016-01-30 00:00:00,42.64,272,
2016-01-30 04:00:00,42.67,288,
2016-01-30 08:00:00,42.69,298,1.51
2016-01-30 10:00:00,42.73,321,
2016-01-30 12:00:00,42.71,309,
2016-01-30 16:00:00,42.68,293,
2016-01-30 20:00:00,42.68,293,
2016-01-31 00:00:00,42.66,282,
2016-01-31 04:00:00,42.66,282,
2016-01-31 08:00:00,42.66,282,1.34
2016-01-31 12:00:00,42.69,298,
2016-01-31 16:00:00,42.61,258,
2016-01-31 20:00:00,42.62,262,
2016-02-01 00:00:00,42.63,267,
2016-02-01 04:00:00,42.54,226,
2016-02-01 08:00:00,42.62,262,1.38
2016-02-01 12:00:00,42.65,277,
2016-02-01 16:00:00,42.62,262,
2016-02-01 18:00:00,42.69,298,
2016-02-01 20:00:00,42.67,288,
2016-02-02 00:00:00,42.69,298,
2016-02-02 02:00:00,42.68,293,
2016-02-02 04:00:00,42.7,304,
2016-02-02 08:00:00,42.69,298,1.01
2016-02-02 12:00:00,42.78,351,
2016-02-02 16:00:00,42.75,334,
2016-02-02 20:00:00,42.72,315,
2016-02-03 00:00:00,42.74,329,
2016-02-03 04:00:00,42.74,329,
2016-02-03 08:00:00,42.74,329,1.35
2016-02-03 12:00:00,42.72,315,
2016-02-03 16:00:00,42.71,309,
2016-02-03 20:00:00,42.63,267,
2016-02-04 00:00:00,42.68,293,
2016-02-04 02:00:00,42.62,262,
2016-02-04 04:00:00,42.69,298,
2016-02-04 08:00:00,42.68,293,1.16
2016-02-04 10:00:00,42.7,304,
2016-02-04 12:00:00,42.65,277,
2016-02-04 16:00:00,42.62,262,
2016-02-04 20:00:00,42.64,272,
2016-02-05 00:00:00,42.65,277,
2016-02-05 04:00:00,42.66,282,
2016-02-05 08:00:00,42.63,267,1.36
2016-02-05 12:00:00,42.64,272,
2016-02-05 16:00:00,42.58,243,
2016-02-05 20:00:00,42.62,334,
2016-02-06 00:00:00,42.57,318,
2016-02-06 04:00:00,42.56,314,
2016-02-06 08:00:00,42.59,324,1.17
2016-02-06 12:00:00,42.59,324,
2016-02-06 16:00:00,42.54,308,
2016-02-06 20:00:00,42.53,305,
2016-02-07 00:00:00,42.5,296,
2016-02-07 04:00:00,42.56,314,
2016-02-07 08:00:00,42.56,314,1.09
2016-02-07 12:00:00,42.57,318,
2016-02-07 16:00:00,42.52,302,
2016-02-07 20:00:00,42.45,281,
2016-02-08 00:00:00,42.48,290,
2016-02-08 04:00:00,42.5,296,
2016-02-08 08:00:00,42.49,293,0.934
2016-02-08 10:00:00,42.52,302,
2016-02-08 12:00:00,42.52,302,
2016-02-08 16:00:00,42.49,293,
2016-02-08 20:00:00,42.45,281,
2016-02-09 00:00:00,42.39,265,
2016-02-09 04:00:00,42.49,293,
2016-02-09 08:00:00,42.46,284,1.25
2016-02-09 12:00:00,42.46,284,
2016-02-09 14:00:00,42.51,299,
2016-02-09 16:00:00,42.51,299,
2016-02-09 20:00:00,42.38,262,
2016-02-10 00:00:00,42.4,267,
2016-02-10 04:00:00,42.46,284,
2016-02-10 08:00:00,42.47,287,1.18
2016-02-10 10:00:00,42.45,281,
2016-02-10 12:00:00,42.5,296,
2016-02-10 16:00:00,42.5,296,
2016-02-10 20:00:00,42.4,267,
2016-02-11 00:00:00,42.46,284,
2016-02-11 02:00:00,42.41,270,
2016-02-11 04:00:00,42.47,287,
2016-02-11 08:00:00,42.42,273,0.904
2016-02-11 12:00:00,42.41,270,
2016-02-11 16:00:00,42.4,267,
2016-02-11 20:00:00,42.4,267,
2016-02-12 00:00:00,42.4,267,
2016-02-12 04:00:00,42.39,265,
2016-02-12 08:00:00,42.4,267,0.771
2016-02-12 12:00:00,42.4,267,
2016-02-12 14:00:00,42.42,273,
2016-02-12 16:00:00,42.42,273,
2016-02-12 20:00:00,42.4,267,
2016-02-13 00:00:00,42.44,278,
2016-02-13 02:00:00,42.46,284,
2016-02-13 04:00:00,42.47,287,
2016-02-13 08:00:00,42.47,287,1.37
2016-02-13 12:00:00,42.47,287,
2016-02-13 14:00:00,42.45,281,
2016-02-13 16:00:00,42.47,287,
2016-02-13 18:00:00,42.45,281,
2016-02-13 20:00:00,42.47,287,
2016-02-14 00:00:00,42.47,287,
2016-02-14 04:00:00,42.49,293,
2016-02-14 06:00:00,42.45,281,
2016-02-14 08:00:00,42.52,302,1.06
2016-02-14 12:00:00,42.5,296,
2016-02-14 16:00:00,42.51,299,
2016-02-14 20:00:00,42.53,305,
2016-02-15 00:00:00,42.53,305,
2016-02-15 02:00:00,42.48,290,
2016-02-15 04:00:00,42.51,299,
2016-02-15 08:00:00,42.49,293,0.852
2016-02-15 12:00:00,42.55,311,
2016-02-15 16:00:00,42.54,308,
2016-02-15 20:00:00,42.51,299,
2016-02-16 00:00:00,42.51,299,
2016-02-16 04:00:00,42.49,293,
2016-02-16 08:00:00,42.51,299,0.825
2016-02-16 12:00:00,42.53,305,
2016-02-16 14:00:00,42.57,318,
2016-02-16 16:00:00,42.54,308,
2016-02-16 20:00:00,42.54,308,
2016-02-17 00:00:00,42.52,302,
2016-02-17 02:00:00,42.54,308,
2016-02-17 04:00:00,42.46,284,
2016-02-17 08:00:00,42.5,296,1.14
2016-02-17 12:00:00,42.52,302,
2016-02-17 16:00:00,42.52,302,
2016-02-17 20:00:00,42.48,290,
2016-02-18 00:00:00,42.47,287,
2016-02-18 04:00:00,42.47,287,
2016-02-18 08:00:00,42.5,296,0.888
2016-02-18 12:00:00,42.52,302,
2016-02-18 14:00:00,42.5,260,
2016-02-18 16:00:00,42.5,260,
2016-02-18 20:00:00,42.43,236,
2016-02-19 00:00:00,42.47,249,
2016-02-19 02:00:00,42.49,256,
2016-02-19 04:00:00,42.48,252,
2016-02-19 08:00:00,42.49,256,0.81
2016-02-19 12:00:00,42.49,256,
2016-02-19 16:00:00,42.47,249,
2016-02-19 20:00:00,42.42,232,
2016-02-20 00:00:00,42.46,246,
2016-02-20 04:00:00,42.44,239,
2016-02-20 08:00:00,42.45,242,0.59
2016-02-20 12:00:00,42.47,249,
2016-02-20 16:00:00,42.46,246,
2016-02-20 20:00:00,42.44,239,
2016-02-20 22:00:00,42.43,236,
2016-02-21 00:00:00,42.44,239,
2016-02-21 04:00:00,42.44,239,
2016-02-21 08:00:00,42.46,246,0.7
2016-02-21 10:00:00,42.48,252,
2016-02-21 12:00:00,42.47,249,
2016-02-21 16:00:00,42.46,246,
2016-02-21 20:00:00,42.42,232,
2016-02-22 00:00:00,42.43,236,
2016-02-22 04:00:00,42.44,239,
2016-02-22 08:00:00,42.47,249,0.87
2016-02-22 12:00:00,42.47,249,
2016-02-22 14:00:00,42.51,263,
2016-02-22 16:00:00,42.5,260,
2016-02-22 20:00:00,42.42,232,
2016-02-23 00:00:00,42.5,260,
2016-02-23 04:00:00,42.44,239,
2016-02-23 08:00:00,42.46,246,0.942
2016-02-23 12:00:00,42.46,246,
2016-02-23 16:00:00,42.43,236,
2016-02-23 20:00:00,42.45,242,
2016-02-23 22:00:00,42.41,229,
2016-02-24 00:00:00,42.43,236,
2016-02-24 04:00:00,42.4,226,
2016-02-24 08:00:00,42.46,246,0.912
2016-02-24 12:00:00,42.46,246,
2016-02-24 16:00:00,42.43,236,
2016-02-24 20:00:00,42.39,223,
2016-02-25 00:00:00,42.4,226,
2016-02-25 04:00:00,42.46,246,
2016-02-25 08:00:00,42.47,249,0.739
2016-02-25 12:00:00,42.49,256,
2016-02-25 16:00:00,42.46,246,
2016-02-25 20:00:00,42.4,226,
2016-02-26 00:00:00,42.41,270,
2016-02-26 04:00:00,42.46,284,
2016-02-26 08:00:00,42.42,273,0.936
2016-02-26 12:00:00,42.43,276,
2016-02-26 16:00:00,42.43,276,
2016-02-26 20:00:00,42.34,252,
2016-02-27 00:00:00,42.4,267,
2016-02-27 04:00:00,42.4,267,
2016-02-27 08:00:00,42.43,276,0.994
2016-02-27 12:00:00,42.43,276,
2016-02-27 14:00:00,42.44,278,
2016-02-27 16:00:00,42.41,270,
2016-02-27 20:00:00,42.36,257,
2016-02-28 00:00:00,42.36,257,
2016-02-28 04:00:00,42.37,259,
2016-02-28 06:00:00,42.33,249,
2016-02-28 08:00:00,42.36,257,0.717
2016-02-28 12:00:00,42.39,265,
2016-02-28 16:00:00,42.37,259,
2016-02-28 20:00:00,42.34,252,
2016-02-28 22:00:00,42.4,267,
2016-02-29 00:00:00,42.37,259,
2016-02-29 04:00:00,42.38,262,
2016-02-29 08:00:00,42.35,254,0.779
2016-02-29 10:00:00,42.42,273,
2016-02-29 12:00:00,42.42,273,
2016-02-29 16:00:00,42.39,265,
2016-02-29 20:00:00,42.41,270,
2016-03-01 00:00:00,42.36,257,
2016-03-01 04:00:00,42.38,262,
2016-03-01 08:00:00,42.39,265,0.681
2016-03-01 12:00:00,42.42,273,
2016-03-01 16:00:00,42.43,276,
2016-03-01 18:00:00,42.46,284,
2016-03-01 20:00:00,42.43,187,
2016-03-02 00:00:00,42.48,225,
2016-03-02 04:00:00,42.54,273,
2016-03-02 08:00:00,42.58,308,1.45
2016-03-02 12:00:00,42.67,389,
2016-03-02 16:00:00,42.68,399,
2016-03-02 18:00:00,42.73,446,
2016-03-02 20:00:00,42.67,389,
2016-03-03 00:00:00,42.68,399,
2016-03-03 04:00:00,42.67,389,
2016-03-03 08:00:00,42.67,389,1.6
2016-03-03 12:00:00,42.72,437,
2016-03-03 16:00:00,42.65,371,
2016-03-03 20:00:00,42.58,308,
2016-03-03 22:00:00,42.56,290,
2016-03-04 00:00:00,42.57,299,
2016-03-04 04:00:00,42.57,299,
2016-03-04 08:00:00,42.53,265,1.39
2016-03-04 12:00:00,42.6,326,
2016-03-04 16:00:00,42.56,290,
2016-03-04 20:00:00,42.56,290,
2016-03-05 00:00:00,42.57,299,
2016-03-05 04:00:00,42.57,299,
2016-03-05 08:00:00,42.52,257,1.02
2016-03-05 12:00:00,42.5,241,
2016-03-05 16:00:00,42.58,308,
2016-03-05 20:00:00,42.58,308,
2016-03-06 00:00:00,42.54,273,
2016-03-06 04:00:00,42.62,344,
2016-03-06 08:00:00,42.78,493,3.81
2016-03-06 09:00:00,42.83,539,
2016-03-06 10:00:00,42.88,585,
2016-03-06 12:00:00,42.85,558,
2016-03-06 16:00:00,42.86,566,
2016-03-06 20:00:00,42.87,576,
2016-03-07 00:00:00,42.86,566,
2016-03-07 04:00:00,42.85,558,
2016-03-07 08:00:00,42.86,566,3.02
2016-03-07 12:00:00,42.87,576,
2016-03-07 14:00:00,42.9,604,
2016-03-07 16:00:00,42.86,566,
2016-03-07 20:00:00,42.85,558,
2016-03-08 00:00:00,42.88,585,
2016-03-08 04:00:00,42.86,566,
2016-03-08 06:00:00,42.84,549,
2016-03-08 08:00:00,42.86,566,2.74
2016-03-08 12:00:00,42.91,613,
2016-03-08 16:00:00,43.0,699,
2016-03-08 18:00:00,43.03,728,
2016-03-08 20:00:00,43.0,699,
2016-03-09 00:00:00,42.94,642,
2016-03-09 04:00:00,42.93,632,
2016-03-09 06:00:00,42.91,613,
2016-03-09 08:00:00,42.92,623,2.06
2016-03-09 09:00:00,42.93,632,
2016-03-09 12:00:00,42.95,651,
2016-03-09 16:00:00,42.97,670,
2016-03-09 18:00:00,43.0,699,
2016-03-09 20:00:00,42.96,661,
2016-03-10 00:00:00,42.96,661,
2016-03-10 04:00:00,42.95,651,
2016-03-10 08:00:00,42.97,670,2.6
2016-03-10 12:00:00,42.95,651,
2016-03-10 16:00:00,43.03,728,
2016-03-10 20:00:00,42.98,680,
2016-03-11 00:00:00,42.95,651,
2016-03-11 04:00:00,42.91,613,
2016-03-11 08:00:00,42.93,632,2.04
2016-03-11 12:00:00,43.0,699,
2016-03-11 14:00:00,43.01,709,
2016-03-11 16:00:00,42.98,680,
2016-03-11 20:00:00,42.93,632,
2016-03-12 00:00:00,42.9,604,
2016-03-12 04:00:00,42.91,613,
2016-03-12 06:00:00,42.88,585,
2016-03-12 08:00:00,42.96,661,2.28
2016-03-12 12:00:00,42.92,623,
2016-03-12 16:00:00,43.13,829,
2016-03-12 20:00:00,43.0,699,
2016-03-13 00:00:00,42.98,680,
2016-03-13 04:00:00,42.94,642,
2016-03-13 08:00:00,42.93,632,1.66
2016-03-13 12:00:00,42.92,623,
2016-03-13 16:00:00,42.96,661,
2016-03-13 20:00:00,43.13,829,
2016-03-14 00:00:00,43.03,728,
2016-03-14 04:00:00,42.97,670,
2016-03-14 08:00:00,42.93,632,1.62
2016-03-14 12:00:00,42.97,670,
2016-03-14 16:00:00,42.94,642,
2016-03-14 20:00:00,42.87,576,
2016-03-15 00:00:00,42.89,594,
2016-03-15 04:00:00,42.87,576,
2016-03-15 06:00:00,42.86,566,
2016-03-15 08:00:00,42.93,632,1.95
2016-03-15 12:00:00,42.99,690,
2016-03-15 16:00:00,42.94,642,
2016-03-15 20:00:00,42.93,632,
2016-03-16 00:00:00,42.95,651,
2016-03-16 02:00:00,42.91,613,
2016-03-16 04:00:00,42.93,632,
2016-03-16 08:00:00,42.97,670,2.22
2016-03-16 12:00:00,42.99,690,
2016-03-16 14:00:00,43.0,699,
2016-03-16 16:00:00,42.97,670,
2016-03-16 20:00:00,42.94,642,
2016-03-17 00:00:00,42.94,642,
2016-03-17 04:00:00,42.94,642,
2016-03-17 08:00:00,42.93,632,1.79
2016-03-17 12:00:00,42.94,642,
2016-03-17 16:00:00,42.95,651,
2016-03-17 20:00:00,42.95,651,
2016-03-18 00:00:00,42.94,642,
2016-03-18 04:00:00,42.95,651,
2016-03-18 06:00:00,42.92,623,
2016-03-18 08:00:00,42.94,642,1.79
2016-03-18 12:00:00,42.97,670,
2016-03-18 14:00:00,42.98,680,
2016-03-18 16:00:00,42.98,680,
2016-03-18 20:00:00,42.93,632,
2016-03-19 00:00:00,42.95,651,
2016-03-19 04:00:00,42.95,651,
2016-03-19 08:00:00,42.96,661,1.73
2016-03-19 10:00:00,43.0,699,
2016-03-19 12:00:00,42.95,651,
2016-03-19 16:00:00,42.97,670,
2016-03-19 20:00:00,42.93,632,
2016-03-20 00:00:00,42.95,651,
2016-03-20 04:00:00,42.94,642,
2016-03-20 08:00:00,42.95,651,1.8
2016-03-20 12:00:00,42.97,670,
2016-03-20 14:00:00,43.01,709,
2016-03-20 16:00:00,42.96,661,
2016-03-20 20:00:00,42.94,642,
2016-03-21 00:00:00,42.93,632,
2016-03-21 04:00:00,42.98,680,
2016-03-21 08:00:00,43.0,699,2.6
2016-03-21 12:00:00,43.01,709,
2016-03-21 16:00:00,43.02,718,
2016-03-21 20:00:00,42.98,680,
2016-03-22 00:00:00,42.96,661,
2016-03-22 04:00:00,43.0,699,
2016-03-22 08:00:00,43.0,699,2.47
2016-03-22 12:00:00,43.06,758,
2016-03-22 16:00:00,43.04,738,
2016-03-22 20:00:00,43.02,718,
2016-03-23 00:00:00,43.03,728,
2016-03-23 04:00:00,43.05,748,
2016-03-23 08:00:00,43.06,758,2.34
2016-03-23 10:00:00,43.09,788,
2016-03-23 12:00:00,43.07,768,
2016-03-23 16:00:00,43.07,768,
2016-03-23 20:00:00,43.08,778,
2016-03-24 00:00:00,43.09,788,
2016-03-24 04:00:00,43.09,788,
2016-03-24 08:00:00,43.12,819,2.53
2016-03-24 10:00:00,43.15,849,
2016-03-24 12:00:00,43.12,819,
2016-03-24 16:00:00,43.14,839,
2016-03-24 20:00:00,43.11,808,
2016-03-25 00:00:00,43.09,788,
2016-03-25 04:00:00,43.1,798,
2016-03-25 08:00:00,43.11,808,2.11
2016-03-25 10:00:00,43.13,829,
2016-03-25 12:00:00,43.13,829,
2016-03-25 16:00:00,43.1,798,
2016-03-25 20:00:00,43.07,768,
2016-03-25 22:00:00,43.06,758,
2016-03-26 00:00:00,43.06,758,
2016-03-26 04:00:00,43.07,768,
2016-03-26 08:00:00,43.07,768,1.67
2016-03-26 10:00:00,43.11,808,
2016-03-26 12:00:00,43.09,788,
2016-03-26 16:00:00,43.05,748,
2016-03-26 20:00:00,43.04,738,
2016-03-27 00:00:00,43.0,699,
2016-03-27 04:00:00,43.02,718,
2016-03-27 08:00:00,43.04,738,1.61
2016-03-27 10:00:00,43.09,788,
2016-03-27 12:00:00,43.06,758,
2016-03-27 16:00:00,43.04,738,
2016-03-27 20:00:00,42.99,690,
2016-03-27 22:00:00,42.97,670,
2016-03-28 00:00:00,42.99,690,
2016-03-28 02:00:00,42.98,680,
2016-03-28 04:00:00,42.98,680,
2016-03-28 06:00:00,43.04,738,
2016-03-28 08:00:00,42.99,690,1.69
2016-03-28 09:00:00,43.02,718,
2016-03-28 12:00:00,43.04,738,
2016-03-28 20:00:00,43.01,709,
2016-03-29 00:00:00,43.01,709,
2016-03-29 04:00:00,42.97,670,
2016-03-29 08:00:00,43.03,728,1.81
2016-03-29 12:00:00,43.16,860,
2016-03-29 14:00:00,43.22,923,
2016-03-29 16:00:00,43.17,870,
2016-03-29 20:00:00,43.03,728,
2016-03-30 00:00:00,42.99,690,
2016-03-30 04:00:00,42.98,680,
2016-03-30 08:00:00,43.0,699,1.52
2016-03-30 10:00:00,43.02,718,
2016-03-30 12:00:00,43.0,699,
2016-03-30 16:00:00,43.01,709,
2016-03-30 20:00:00,42.99,690,
2016-03-30 22:00:00,42.97,670,
2016-03-31 00:00:00,42.97,670,
2016-03-31 04:00:00,42.96,661,
2016-03-31 08:00:00,42.93,632,1.75
2016-03-31 09:00:00,42.96,661,
2016-03-31 12:00:00,43.0,699,
2016-03-31 16:00:00,42.98,680,
2016-03-31 20:00:00,42.96,661,
2016-04-01 00:00:00,42.96,661,
2016-04-01 04:00:00,42.95,651,
2016-04-01 08:00:00,42.97,670,2.0
2016-04-01 12:00:00,42.99,690,
2016-04-01 16:00:00,42.99,690,
2016-04-01 18:00:00,43.01,709,
2016-04-01 20:00:00,42.97,670,
2016-04-02 00:00:00,42.98,680,
2016-04-02 04:00:00,42.96,661,
2016-04-02 08:00:00,42.96,661,1.52
2016-04-02 12:00:00,43.01,709,
2016-04-02 16:00:00,43.0,699,
2016-04-02 20:00:00,42.97,670,
2016-04-03 00:00:00,42.96,661,
2016-04-03 04:00:00,42.98,680,
2016-04-03 08:00:00,42.98,680,2.18
2016-04-03 12:00:00,43.0,699,
2016-04-03 16:00:00,42.96,661,
2016-04-03 20:00:00,43.0,699,
2016-04-03 22:00:00,43.01,709,
2016-04-04 00:00:00,43.0,699,
2016-04-04 04:00:00,43.03,728,
2016-04-04 08:00:00,43.0,699,2.4
2016-04-04 12:00:00,43.0,699,
2016-04-04 16:00:00,43.01,709,
2016-04-04 20:00:00,43.01,709,
2016-04-05 00:00:00,42.99,690,
2016-04-05 04:00:00,42.99,690,
2016-04-05 08:00:00,43.03,728,2.21
2016-04-05 12:00:00,43.06,758,
2016-04-05 16:00:00,43.03,728,
2016-04-05 20:00:00,43.0,699,
2016-04-06 00:00:00,43.0,699,
2016-04-06 04:00:00,43.02,718,
2016-04-06 08:00:00,43.02,718,2.26
2016-04-06 10:00:00,43.04,738,
2016-04-06 12:00:00,43.03,728,
2016-04-06 16:00:00,43.04,738,
2016-04-06 20:00:00,43.01,709,
2016-04-07 00:00:00,43.02,718,
2016-04-07 04:00:00,43.03,728,
2016-04-07 08:00:00,43.02,718,2.42
2016-04-07 12:00:00,43.03,728,
2016-04-07 14:00:00,43.07,768,
2016-04-07 16:00:00,43.01,709,
2016-04-07 20:00:00,43.04,738,
2016-04-08 00:00:00,43.0,699,
2016-04-08 04:00:00,43.02,718,
2016-04-08 08:00:00,43.02,718,2.12
2016-04-08 12:00:00,43.04,738,
2016-04-08 14:00:00,43.05,748,
